         2746731 function calls (2746170 primitive calls) in 40.260 seconds

   Ordered by: standard name

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
        1    0.000    0.000    0.000    0.000 extras.py:10(<module>)
        1    0.000    0.000    0.000    0.000 extras.py:1464(MAxisConcatenator)
        1    0.000    0.000    0.000    0.000 extras.py:1476(__init__)
        1    0.000    0.000    0.000    0.000 extras.py:1530(mr_class)
        1    0.000    0.000    0.000    0.000 extras.py:1546(__init__)
        1    0.000    0.000    0.000    0.000 extras.py:224(_fromnxfunction)
        9    0.000    0.000    0.000    0.000 extras.py:241(__init__)
        9    0.000    0.000    0.000    0.000 extras.py:245(getdoc)
        1    0.000    0.000    0.000    0.000 fftpack.py:32(<module>)
        1    0.000    0.000    0.000    0.000 financial.py:10(<module>)
        1    0.000    0.000    0.313    0.313 find_INT32_t_INT32_t.py:1(<module>)
        1    0.000    0.000    0.313    0.313 find_INT32_t_INT32_t.py:1(__bootstrap__)
        1    0.000    0.000    0.309    0.309 find_INT64_t_INT64_t.py:1(<module>)
        1    0.000    0.000    0.309    0.309 find_INT64_t_INT64_t.py:1(__bootstrap__)
        1    0.000    0.000    0.000    0.000 fnmatch.py:11(<module>)
        1    0.000    0.000    0.000    0.000 format.py:136(<module>)
        1    0.000    0.000    0.000    0.000 fromnumeric.py:3(<module>)
        2    0.000    0.000    0.001    0.000 function_base.py:1(<module>)
        1    0.000    0.000    0.000    0.000 function_base.py:1529(vectorize)
      274    0.000    0.000    0.001    0.000 function_base.py:3251(add_newdoc)
        5    0.000    0.000    0.000    0.000 functools.py:17(update_wrapper)
        5    0.000    0.000    0.000    0.000 functools.py:39(wraps)
        1    0.000    0.000    0.315    0.315 generate_indices_INT32_t.py:1(<module>)
        1    0.000    0.000    0.315    0.315 generate_indices_INT32_t.py:1(__bootstrap__)
        1    0.000    0.000    0.311    0.311 generate_indices_INT64_t.py:1(<module>)
        1    0.000    0.000    0.311    0.311 generate_indices_INT64_t.py:1(__bootstrap__)
       38    0.000    0.000    0.000    0.000 genericpath.py:15(exists)
    19687    0.018    0.000    0.075    0.000 genericpath.py:26(isfile)
    19836    0.023    0.000    0.102    0.000 genericpath.py:38(isdir)
      135    0.000    0.000    0.000    0.000 genericpath.py:85(_splitext)
        1    0.000    0.000    0.000    0.000 getlimits.py:194(iinfo)
        1    0.000    0.000    0.000    0.000 getlimits.py:24(finfo)
        5    0.000    0.000    0.000    0.000 getlimits.py:244(__init__)
        2    0.000    0.000    0.000    0.000 getlimits.py:269(max)
        1    0.000    0.000    0.000    0.000 getlimits.py:3(<module>)
        1    0.000    0.000    0.319    0.319 h_mat_INT32_t_COMPLEX128_t.py:1(<module>)
        1    0.000    0.000    0.319    0.319 h_mat_INT32_t_COMPLEX128_t.py:1(__bootstrap__)
        1    0.000    0.000    0.317    0.317 h_mat_INT32_t_COMPLEX256_t.py:1(<module>)
        1    0.000    0.000    0.317    0.317 h_mat_INT32_t_COMPLEX256_t.py:1(__bootstrap__)
        1    0.000    0.000    0.313    0.313 h_mat_INT32_t_COMPLEX64_t.py:1(<module>)
        1    0.000    0.000    0.313    0.313 h_mat_INT32_t_COMPLEX64_t.py:1(__bootstrap__)
        1    0.000    0.000    0.311    0.311 h_mat_INT64_t_COMPLEX128_t.py:1(<module>)
        1    0.000    0.000    0.311    0.311 h_mat_INT64_t_COMPLEX128_t.py:1(__bootstrap__)
        1    0.000    0.000    0.343    0.343 h_mat_INT64_t_COMPLEX256_t.py:1(<module>)
        1    0.000    0.000    0.343    0.343 h_mat_INT64_t_COMPLEX256_t.py:1(__bootstrap__)
        1    0.000    0.000    0.309    0.309 h_mat_INT64_t_COMPLEX64_t.py:1(<module>)
        1    0.000    0.000    0.309    0.309 h_mat_INT64_t_COMPLEX64_t.py:1(__bootstrap__)
        1    0.000    0.000    0.001    0.001 hashlib.py:55(<module>)
        6    0.000    0.000    0.000    0.000 hashlib.py:94(__get_openssl_constructor)
        1    0.000    0.000    0.000    0.000 heapq.py:31(<module>)
        1    0.000    0.000    0.000    0.000 helper.py:4(<module>)
        1    0.000    0.000    0.000    0.000 hermite.py:1750(Hermite)
        1    0.000    0.000    0.000    0.000 hermite.py:59(<module>)
        1    0.000    0.000    0.000    0.000 hermite_e.py:1747(HermiteE)
        1    0.000    0.000    0.000    0.000 hermite_e.py:59(<module>)
        1    0.000    0.000    0.001    0.001 index_tricks.py:1(<module>)
        2    0.000    0.000    0.000    0.000 index_tricks.py:148(__init__)
